Date Scraped,Type,LocalAirport,Origin/Destination,Airline,Status,Expected,Actual,Delay
08-11-24 23:55,Departures,Basel,Paris Charles De Gaulle,Air France,Departed,2000-01-01 10:25:00,2000-01-01 10:32:00,7.0
08-11-24 23:55,Departures,Basel,Athens,easyJet,Departed,2000-01-01 10:59:00,2000-01-01 10:59:00,0.0
08-11-24 23:55,Departures,Basel,Split,easyJet,Departed,2000-01-01 10:55:00,2000-01-01 10:55:00,0.0
08-11-24 23:55,Departures,Basel,Palma,easyJet,Departed,2000-01-01 11:10:00,2000-01-01 11:10:00,0.0
08-11-24 23:55,Departures,Basel,Istanbul,Turkish Airlines,Departed,2000-01-01 11:10:00,2000-01-01 11:10:00,0.0
08-11-24 23:55,Departures,Basel,Casablanca,Air Arabia Maroc,Departed,2000-01-01 11:14:00,2000-01-01 11:14:00,0.0
08-11-24 23:55,Departures,Basel,Amsterdam,KLM,Departed,2000-01-01 11:26:00,2000-01-01 11:26:00,0.0
08-11-24 23:55,Departures,Basel,London Heathrow,British Airways,Departed,2000-01-01 11:22:00,2000-01-01 11:22:00,0.0
08-11-24 23:55,Departures,Basel,Pristina,easyJet,Departed,2000-01-01 11:53:00,2000-01-01 11:53:00,0.0
08-11-24 23:55,Departures,Basel,Pristina,Chair Airlines,Departed,2000-01-01 11:55:00,2000-01-01 11:55:00,0.0
08-11-24 23:55,Departures,Basel,Malaga,easyJet,Departed,2000-01-01 12:39:00,2000-01-01 12:39:00,0.0
08-11-24 23:55,Departures,Basel,Istanbul Sabiha Gökcen,Pegasus Airlines,Departed,2000-01-01 12:53:00,2000-01-01 12:53:00,0.0
08-11-24 23:55,Departures,Basel,Edinburgh,easyJet,Departed,2000-01-01 12:45:00,2000-01-01 12:45:00,0.0
08-11-24 23:55,Departures,Basel,Lamezia,easyJet,Departed,2000-01-01 12:57:00,2000-01-01 12:57:00,0.0
08-11-24 23:55,Departures,Basel,Dubai,Flydubai,Departed,2000-01-01 13:23:00,2000-01-01 13:23:00,0.0
